,block,Unnamed: 0,accelerometer_x_mean,accelerometer_x_std,accelerometer_y_mean,accelerometer_y_std,accelerometer_z_mean,accelerometer_z_std,gyroscope_x_mean,gyroscope_x_std,gyroscope_y_mean,gyroscope_y_std,gyroscope_z_mean,gyroscope_z_std,DES,block_group
0,0.0,,0.24772004891235241,0.04713005106216845,0.1400154545320743,0.07201657032604679,0.2567153011247734,0.030870807739709877,0.03545210289487502,0.15234510081466848,0.18400763684621166,0.09000778939152218,0.14566677511110174,0.21993019491066354,0.047330717869933855,0
1,1.0,,0.1380851487528097,0.30361208058435896,0.16630568556799413,0.2098247954195887,0.13043922439259395,0.6255986679442056,0.05313543795583311,0.1088581326978397,0.2420425112299879,0.2195770710285786,0.10488122636886785,0.18353327433722014,0.11244190574771319,0
2,2.0,,0.21328910783059896,0.1958919781915012,0.14153801469025362,0.1973880847770649,0.06302297579226014,0.40902528960885537,0.21612854091975928,0.1445576564578828,0.12800541755305872,0.10062663083775931,0.26897769326149,0.19800562750999223,0.09364346563283764,0
3,3.0,,0.2750203395194398,0.02797901420931737,0.06154762783471306,0.05683438540300691,0.05726556997107362,0.11561368067781513,0.14170369852108977,0.31811248021850747,0.1674929507069836,0.09496095310689182,0.026352101997481624,0.1424296880970251,0.028142070319518812,0
4,4.0,,0.09037716818240149,0.1615103366312845,0.26733034691465407,0.3115966882080854,0.22937242866927854,0.31975390948444626,0.3028924048364203,0.2557201424912508,0.04805340297914269,0.32631089675196895,0.18589783251695544,0.15127605545288064,0.1446947300256599,0
5,5.0,,0.1993683205827652,0.43408824856009187,0.1358020025104433,0.34105978931100245,0.13514655358251443,0.4295597350553289,0.23577569771669596,0.33164027280742,0.20573181070886373,0.4162509006934949,0.1813210024319739,0.3944437928646959,0.17448812456172227,1
6,6.0,,0.07410689917883304,0.12087994695623334,0.13752260078019837,0.29423190810000754,0.2530506144095027,0.23637080194733998,0.12068483032921601,0.07678454329814215,0.05134397742959374,0.25000681346885684,0.19562268548902378,0.06882173088084662,0.13512721789150103,1
7,7.0,,0.20545140119858066,0.3372669778295356,0.1563534849747519,0.33071805464112364,0.12071703015038412,0.43001005326218733,0.19590783500166548,0.04932802475930371,0.25792301998896233,0.06549497809184572,0.17195696500683758,0.08584905745866109,0.15614903268280178,1
8,8.0,,0.26378803762429176,0.08322158137165368,0.2695061790006525,0.09222623858022273,0.2286515711506909,0.09373339108613463,0.3870075201443535,0.16780966703490016,0.10724334427225864,0.19963976712061446,0.41756993791685015,0.09013962972612423,0.0567536391497609,1
9,9.0,,0.1663972581631387,0.24550518763903828,0.03149386769885864,0.3334204194827449,0.1402880355586494,0.3073064440861722,0.13299478967324538,0.441731866816408,0.21649381609800164,0.36636252659445545,0.2535012938260413,0.0827508585318029,0.15444947720216703,1
10,10.0,,0.07115608667848666,0.04137935575964327,0.09868771707759164,0.06784173515004456,0.17846073431219478,0.2252098398256741,0.14184621906742056,0.23616973712711256,0.3090272229647471,0.07577691673861911,0.096561515681082,0.10884645721282675,0.04002909906789732,2
11,11.0,,0.18177361585551774,0.1599324081537064,0.18301324829558555,0.31978814683239604,0.4246051755815438,0.14905977878633223,0.27885076890467086,0.1527748325357373,0.1241029555525163,0.31077987149370306,0.10742763833309159,0.264645506917152,0.15941863635530498,2
12,12.0,,0.18119543332087568,0.1470410122759271,0.1568123582139652,0.049592772816751965,0.16936160044732418,0.09523933562961094,0.1692074104587745,0.09183207481757397,0.16616443305015557,0.05227428310082054,0.17550513609720692,0.250830208201793,0.041927222411409386,2
13,13.0,,0.13475738138457935,0.09493457458375834,0.30496768660161316,0.06419887133382049,0.1588644101018505,0.03226668019734966,0.03363610141939225,0.1656738717836571,0.3026472626505152,0.1197876663298604,0.21888941737184164,0.04067755827670464,0.0422010385369179,2
14,14.0,,0.18140821935687956,0.2496627636568449,0.1156009398503714,0.37249174123065687,0.24100813872328758,0.3321369120948003,0.35395270557801023,0.33398819168500005,0.4785762068811038,0.21173750678295983,0.09364191254400928,0.34016265723405104,0.17417333161800677,2
15,15.0,,0.09286743674297913,0.13522988060408503,0.06563213046661318,0.006078574163497056,0.13077984262483563,0.18748991423906633,0.09030309402440638,0.06542654348417204,0.1539321973880286,0.06968971893706685,0.12371892094554689,0.06813260439641436,0.022272593747024193,3
16,16.0,,0.07877137546010239,0.016977605309278294,0.13265957920544333,0.036817020453162444,0.07822145927444356,0.03768405382720593,0.0909649878514511,0.20475684179498277,0.037577082951564304,0.18275530917901953,0.1368129493294933,0.1328053908304068,0.02226112107968208,3
17,17.0,,0.1732862025645107,0.34170433358789715,0.22721474396554833,0.2071983483820154,0.12826135938807945,0.28081079600202535,0.1060658009423353,0.0844093112283636,0.21427042386751688,0.08750009862472916,0.1320352892542331,0.109280674386558,0.11252383883562239,3
18,18.0,,0.1708916003176881,0.3753724907082489,0.38495106964615117,0.30564292465911813,0.2788091967502831,0.06528207984857479,0.249415954893575,0.1628963121341102,0.1640128347418506,0.16384408273203838,0.1631649590003415,0.3516401442622478,0.1619767913795213,3
19,19.0,,0.09820996523764368,0.28723070696353714,0.16508995804285012,0.2424949803598846,0.18447078384676066,0.27294321397395127,0.17603576730761086,0.16303279591949696,0.19161567461486334,0.2226648957880603,0.17692597643082755,0.15776771225690636,0.12606779729542716,3
20,20.0,,0.14524815380846484,0.6188239844896285,0.2884279117568094,0.10948069532568469,0.22188400229897237,0.3230164029210935,0.21467434138211966,0.1066310220968013,0.10430677362141678,0.12450236990320322,0.10947044057720766,0.14631770748797918,0.10608518645687573,4
