,block,C1,C2,C3,C4,C5,S1,S2,S3,S4,S5,FDDS
0,0.0,2.646540720785545,3.2307349188262116,2.814343161641795,3.1589902913715187,2.665294941531596,0.1418274100447975,0.2238198180991413,0.21968462671678618,0.13985253216217622,0.06832330144558033,2.003610539942074
1,1.0,2.1938313857076874,1.9259500764444333,1.1479041503478258,1.8461307546367176,1.5116690421642662,0.13410477893076228,0.08552880127380322,0.06471591663191506,0.1287187535609995,0.10886884937429972,1.1066629537750738
2,2.0,1.0415583720898853,0.8756951815997327,2.028411198482419,1.190569037971069,0.9242878334137092,0.147462331112808,0.12395075823374577,0.23444970105378132,0.15963195521609982,0.10582342242890233,0.8485084789989391
3,3.0,0.8013086995730094,1.675465419438112,1.4400214972583574,1.7883867249680196,0.6109439647095389,0.09488600124391589,0.24787176981419004,0.09167905196266886,0.17462727007984724,0.1475112925429786,1.0669632086922836
4,4.0,2.885893969411217,1.2028856480038643,1.3823358512652453,1.096822147626387,0.910583306406248,0.22319073285117164,0.13596299438765588,0.0763626733126755,0.11763067262548779,0.12413333985474789,0.8338332234546568
5,5.0,3.9152538975088778,1.1019065453455497,1.0954802603426024,0.500405252110995,1.4879196285681853,0.0658363599924594,0.13066674447439788,0.1028099032814935,0.07610629667229955,0.13697515778890246,0.7036622801445147
6,6.0,2.113926367562305,0.708301876190332,4.413558673331929,1.8113215778711833,1.6608369928042488,0.17904192270989905,0.14258080032102946,0.19467798586241292,0.12937971184977703,0.07475404708552238,1.2976770862603004
7,7.0,2.121156609537044,1.3242236979900315,0.6816183570872882,1.6855058421137858,1.7969597786049918,0.08918702251254443,0.18504901275761884,0.10264148953589092,0.1933280225094911,0.34012418537626476,0.8416648240428228
8,8.0,1.8189749009173157,1.3843582742856044,0.5133392378688593,2.140423651509006,1.085835938080778,0.193835450998975,0.22548949782005262,0.10122953550602685,0.06538119384773285,0.21287984599232804,0.8205732899112815
9,9.0,1.2618801957380956,0.5119660298760932,1.95436538820756,1.893443605210556,1.5835966354982856,0.09488600124391544,0.04757502780687152,0.1322082813654068,0.1441244811817084,0.11126766931859984,0.7838435904942315
