,block,CRSDepTime_min,CRSElapsedTime,DayOfWeek,Distance,Month,Year,dest_lat,dest_long,origin_lat,origin_long,FDDS,block_group
2945,2945.0,1543808.596563023,7567.623420982296,0.24960234483356425,2865025.169405302,341.6394385178323,0.9098198575897488,1975.7159931080794,16518.698092579125,2472.7605978203965,15188.991652243023,1635403.160456709,589
2946,2946.0,2021718.545995807,16655.372810982906,32.954752081375794,6920232.448353227,115.79820266089794,2.9586483847881437,2584.5199321413056,34915.49375733303,1641.3500401297424,12709.54210327213,3949642.3412338602,589
2947,2947.0,2695995.2061409117,47038.342648166974,130.5389286766171,7907642.839527963,26.227268520748854,9.395210944085557,1108.7132670686335,11712.118963015539,338.2524948022632,2720.0162291611364,4510732.530404325,589
2948,2948.0,273020.60231007583,66388.54013511224,20.69936065574617,5228638.527936319,97.2743652482384,3.7783061406338465,1611.4067409232737,19085.520194457058,914.5540214555817,11419.941053770315,2983560.9755455856,589
2949,2949.0,1848128.598167532,8960.804637438903,35.46814545567834,7681682.478661489,334.050652267022,2.0867148656559262,2009.9278425352186,4949.12445715862,905.5841759483181,19358.986654842112,4381352.332451901,589
2950,2950.0,1933011.537008102,35052.30858906192,24.004589138875485,7334027.549582236,84.6288611112462,2.406561815601701,1682.3478474901965,34386.687500391185,1594.8927411173354,11630.249790410948,4185556.306395477,590
2951,2951.0,2469289.2484303983,1873.763889186235,107.9967947262417,12179641.179798989,150.19926513269323,1.9552646781113752,1432.461727000557,12710.168160070409,1021.1510680397828,7110.44999023055,6947139.345277476,590
2952,2952.0,2538299.0462526446,12052.505554828265,52.6656035761913,5852325.890562179,176.2898940405312,3.603256728313873,1835.87561168333,48272.34830842481,403.9430350823309,15859.065988062412,3341734.0897085336,590
2953,2953.0,2051067.2175875972,16900.495677525054,53.96877401136143,7487361.92167126,164.09701981043312,0.5331641437570686,1475.1076181260023,23236.79993706324,667.5236796348404,22722.455668274186,4272072.405982294,590
2954,2954.0,2569397.861878387,8870.63090116535,83.98501254929465,7965147.617904392,245.19082162704922,5.849752146082352,2630.0430902487824,19627.146775886267,1626.5265055277996,6245.473835498154,4544247.868860732,590
2955,2955.0,1575307.9823572712,22750.413926802223,82.09355197363982,10346138.302928876,222.96131143029277,15.83216872165297,2613.58686403211,10437.668374713146,728.7658218083109,7314.648284368891,5901342.939146127,591
2956,2956.0,1623843.9416072732,1416.5224052924398,14.15570714585488,7807117.034054895,190.89615774101543,1.4888821707748963,487.6538847955132,10208.564171571614,1305.3672155756867,26413.799167544763,4453306.10377879,591
2957,2957.0,349898.1554869995,24341.088399300275,29.21366695289334,3842046.441847709,28.276437179117657,5.131112037462498,934.535833920087,9626.368325659078,397.8066296214862,16914.929653857573,2191983.2806943865,591
2958,2958.0,840914.4388062679,99273.23506587834,44.562641744248836,4284689.375219495,159.90099867894372,2.5815768531186905,621.3562829192722,6347.887928362357,477.9835327053608,4186.637211449204,2444108.242960139,591
