block,nswprice,transfer,vicdemand,vicprice,FDDS
1645.0,0.0009034649586104514,0.13499969124075803,0.06316090586147005,0.0155141699089978,0.003527700536389962
1646.0,0.012896648978635274,0.14913457392093873,0.15934733198370826,0.07030846656503731,0.021300705775189555
1647.0,0.015563611675436123,0.11941107574249131,0.17796520812310146,0.0010531026514759986,0.017090769128042468
1648.0,0.0710930611551606,0.14174643751191515,0.1990887152599159,0.005242643607042544,0.06688027436775497
1649.0,0.12732832992318768,0.15361791758888058,0.21214676503924765,0.009202596267395582,0.11712022065876337
1650.0,0.22846886415918397,0.10162021642569997,0.06157825601836714,0.014924846847347422,0.20416805638925944
1651.0,0.028049901194747255,0.14941380525084497,0.07319954571775573,0.0024613735110983535,0.026361968688370933
1652.0,0.014444699877743248,0.13258755752052878,0.16174559999060173,0.0008747165025674204,0.015797365622718416
1653.0,0.1613857804174749,0.09287956566975322,0.21678419590676623,0.011736410680489223,0.14747797439211593
1654.0,0.039765256087345095,0.10995531899175712,0.213380540104057,0.003149650746628723,0.039284805957575684
1655.0,0.018675464344501812,0.108560366408896,0.22050867255776674,0.0009492841375918039,0.02059065631447013
1656.0,0.013112160767472177,0.0654778696796578,0.15781396343234314,0.000921133779249361,0.014532597162221798
1657.0,0.3805860322677188,0.07689440929342276,0.034710717941043384,0.0015407677641435663,0.3365276304759793
1658.0,0.08524672978394193,0.17521181833250876,0.050888625666432694,0.002551652241840487,0.07643071792247967
1659.0,0.011836365319695636,0.07580885250041614,0.1400905059888312,0.0009803278667952482,0.013096286998524668
1660.0,0.01965196570904368,0.07135508170470717,0.16347632766441053,0.0015101624159792042,0.020464391829664218
1661.0,0.05984223232521354,0.12096527309410916,0.17614040506355422,0.0034915911864626297,0.05635973213722554
1662.0,0.04535412194553034,0.12048725156558986,0.1484080063546684,0.002844824948789517,0.04301383396470581
1663.0,0.02961144718545269,0.11321731572530289,0.13163132933736732,0.0017962025797740935,0.028716982932886312
1664.0,0.01476816320021486,0.21639853995424238,0.04831161654809368,0.00023925761800753815,0.013997933503805552
1665.0,0.015826443754533157,0.12899328827069803,0.037148513033446705,0.0008686595329910487,0.014762519688691534
1666.0,0.001473900496237785,0.05810477405039442,0.112162787649386,0.0003236498113266476,0.0033792969595664237
1667.0,0.01627647872952169,0.05086804066347928,0.1338660616783525,0.0009094908575905428,0.016884936254516803
1668.0,0.016125036678731705,0.08240860254832445,0.1815435819702146,0.0008683727448935266,0.017619696014881506
1669.0,0.05159619766854806,0.09262697335186022,0.2380503549966626,0.0033482220766784037,0.050180772018617426
1670.0,0.017700748712016327,0.20240296786314282,0.1114754158277904,0.00044741548303929503,0.017742323574247147
1671.0,0.011561618853594306,0.2708757001060834,0.04358371570169638,0.0006289878653403564,0.011141278064967178
1672.0,0.02430840238811766,0.16346691280322706,0.14815197276561212,0.0010861152106496378,0.02428416225518629
1673.0,0.032057682298224525,0.04937066964180651,0.20754605012658875,0.002206384430035339,0.03226590992215129
1674.0,0.031838057773398196,0.08625980146715151,0.22586696054854088,0.0020706305813243107,0.032402364765964926
1675.0,0.025284677711002776,0.0676756183774986,0.20201820307025842,0.0010150857304418183,0.02607917198922545
1676.0,0.021541262348572274,0.06102096605828889,0.21113443427901457,0.0009353890804201715,0.022931611724596342
1677.0,0.021243064863384217,0.149365398455916,0.023481183673047582,0.00022282901987285427,0.019236294608376198
1678.0,0.012552472814000497,0.1581099532614074,0.05154204422849819,0.0005639682645693943,0.012114254204373716
